index,tweet,max_emotion,sentiment
0,breaking first nfl team declares bankruptcy kneeling thugs,sadness,neutral
1,court orders obama pay 400 million restitution,neutral,negative
2,update second roy moore accuser works michelle obama right,neutral,neutral
3,oscar pistorius attempts commit suicide,sadness,negative
4,trump votes death penalty gay,sadness,negative
5,putin says pope francis man god mustsee,surprise,positive
6,new york man wanted infecting 240 men women hiv,neutral,neutral
7,saudi arabia behead 6 school girls male friends without parents guardian,anger,positive
8,malia obama fired cushy internship spanish embassy,joy,negative
9,target discontinue sale holy bible,sadness,neutral
10,youngest world leader bans george soross foundations austria,neutral,neutral
11,breaking hillary clinton third heart attackdocs says wont survive,sadness,neutral
12,barack obama tweets sick attack john mccain says died,sadness,negative
13,president trump underscores usjamaica relations,joy,neutral
14,actress sandra bullock hillary clinton dont like president leave never come back one jealous woman ls nothing compare trump hope arrest,anger,negative
15,gretchen carlson 2nd amendment written guns invented,neutral,neutral
16,pope francis mass jesus metaphorical literal,neutral,neutral
17,black men arrested philadelphia starbucks settle 2 million,anger,negative
18,ice detainer issued suspected wine country arsonist sonoma jail,anger,negative
19,former presidents walk fine line trumps america,neutral,positive
20,inside snapchat bloodbath 60 minutes terror left 17 dead bodies classrooms kids full blood,fear,negative
21,breaking nancy pelosi resign new revelations nrtonline,sadness,negative
22,donald trump inauguration artists wont perform ceremony include elton john celine dion john legend,sadness,neutral
23,breaking leaked picture obama dragged judge handcuffs wiretapping trump,anger,negative
24,clinton campaign official arrested fbi child rapetrafficking charges,anger,negative
25,donald train news breaking rosa parks granddaughter slams racist democrats endorses trump,anger,negative
26,nra president jim porter falsely accused saying matter time colored people,neutral,negative
27,biden raises possibility 2020 presidential bid,fear,neutral
28,nyc physician wife jump deathleave kids behind cant afford health care hours mccain murkowski collins every democrat voted keep obamacare,sadness,negative
29,snapchat shutting,neutral,neutral
30,rice told investigators unmasked trump aides,fear,neutral
31,breaking meryl streep got fired major project lying trump,sadness,negative
32,clinton email must destroy syria israel,anger,negative
33,cnn host fareed zakaria calls jihad rape white women,fear,negative
34,could trump win nobel peace prize peace korean peninsula would significant foreign policy achievement,joy,positive
35,update hillary clinton leaves country mueller indictment announced,neutral,neutral
36,breaking illegal muslim iran arrested starting california wildfire,anger,negative
37,nfl lawyer claimed super bowl rigged found dead,anger,negative
38,japanese whaling crew eaten alive killer whales 16 dead,sadness,negative
39,barrels removed clinton property contain parts 3 missing women,sadness,negative
40,liberal women hate striking beauty intellect says kellyanne conway,anger,positive
41,buzz aldrin passes ufo lie detector test leaving experts convinced encountered alien life,neutral,positive
42,full text jeff flake trump speech transcript,neutral,neutral
43,mike pence allowing rape victims abortions lead women trying get raped,fear,negative
44,paul ryan 22 million americans choose poor problem cant afford healthy,sadness,negative
45,pope francis gun owners cant call christian anymore,sadness,negative
46,mayor bhalla,neutral,neutral
47,neon nettle,neutral,neutral
48,broward county sheriff fired lying parkland,anger,negative
49,tom price better budget cancer patients die quickly,neutral,negative
50,breaking greitens accuser admits photo session may dream,surprise,positive
51,obama administration kept illegal mexican kids detention camps experiment,neutral,negative
52,pope francis followers koran holy bible,neutral,neutral
53,united airlines flight attendant slaps crying baby flight,sadness,negative
54,cia release documents moon moon 250 million citizens,neutral,neutral
55,donald trump lost war christmas,sadness,negative
56,thousands killed israel drops tactical nuclear bomb syria,sadness,negative
57,man charged murder driving antifarright protesters charlottesville,anger,negative
58,breaking fox sports cancels nfl broadcasts players respect flag,sadness,positive
59,legislative process,neutral,neutral
60,head nfl fines steeler teammates 1 million,surprise,neutral
61,debbie wasserman schultz aide arrested trying flee country,anger,negative
