index,tweet,max_emotion,sentiment
0,miley cyrus liam hemsworth secretly get married,joy,neutral
1,paris jackson cara delevingne enjoy night matching outfits amazing chemistry,joy,positive
2,celebrities join tax march protest donald trump,anger,positive
3,cindy crawfords daughter kaia gerber wears wig dining harry styles,joy,neutral
4,full list 2018 oscar nominations variety,neutral,neutral
5,heres really happened jfk jr met princess diana,surprise,neutral
6,biggest celebrity scandals 2016,sadness,negative
7,caitlyn jenner addresses rumored romance sophia hutchins,neutral,positive
8,taylor swift reportedly reacts tom hiddlestons golden globes win,surprise,positive
9,love god cant anyone write kate mckinnon good movie role,surprise,positive
10,miley cyrus liam hemsworth get married tybee island despite report,sadness,neutral
11,miley cyrus claims satan nice guy hes misunderstood,neutral,positive
12,selena gomez perfect response news justin biebers engagement,surprise,positive
13,critics choice awards 2018 winners complete list,neutral,positive
14,jennifer aniston justin theroux starting dog fostering adoption business,joy,neutral
15,angelina jolie cant get heartbreak losing brad pitt real reason fury says source,anger,positive
16,hes hired ben affleck enlists best friend matt damon life coach,neutral,positive
17,full statement john mccain vote grahamcassidy health care bill,neutral,positive
18,justin bieber despacito,neutral,neutral
19,julia roberts miracle baby 50,surprise,positive
20,beyonce sipping tea listening taylor swifts album shes loving kanye west diss tracks,joy,positive
21,blake shelton gwen stefani talk hookup voice,neutral,neutral
22,miranda lambert desperate meet blake shelton reported split gwen stefani,sadness,negative
23,pregnant kate middleton hit cocaine bombshell,surprise,neutral
24,jen anistons split justin theroux brad pitt really thinks,surprise,neutral
25,emmys 2017 nominees saying,neutral,neutral
26,caitlyn jenner slams kardashians says didnt trust know gender reassignment surgery,sadness,negative
27,chris brown want royalty like north west,neutral,positive
28,7 questionable details taylor swift joe alwyns relationship including militarylike mission keep wraps,neutral,negative
29,lopez lópez accent peoples names,neutral,neutral
30,nicole kidman prince harry named sexiest redheads,joy,neutral
31,jennifer lawrence says mother led darren aronofsky split,sadness,neutral
32,kristen stewart usual scowling self night robert pattinson,neutral,neutral
33,johnny depp settles lawsuit former business managers,anger,negative
34,halle berry join keanu reeves third john wick flick,joy,positive
35,air ryan seacrest,neutral,neutral
36,swift calls label nervous pop album,fear,negative
37,kanye west kim kardashian best sex lives hes attracted,joy,positive
38,kylie jenner slams altered photos amid pregnancy rumors,neutral,neutral
39,kylie jenner jenner kris life kylie,neutral,neutral
40,pictures selena gomez years,neutral,neutral
41,katy perry orlando bloom reportedly back robsten parties together la,neutral,positive
42,ben affleck jennifer garner file divorce amid reconciliation rumors,sadness,neutral
43,josh duhamel gushes jennifer garner dating rumors shes incredible woman,joy,neutral
44,hollywoodlife flipflops prince harry meghan markle engagement,joy,positive
45,anne hathaway angering barbie movie producers demands,anger,negative
46,prince charles ordering camilla parker bowles get plastic surgery save marriage,neutral,positive
47,kris jenner impressed travis scott stepping taking care stormi kylie,neutral,positive
48,50 celebrities react donald trumps immigration order,anger,neutral
49,sean spicer emmys moment see celebrity reactions,surprise,neutral
50,kim kardashian kanye west victims swatting lapd clarifies,neutral,negative
51,biggest engagement rings 2017 cardi b caroline wozniacki celeb diamond bling,surprise,positive
52,anna wintour net worth,sadness,positive
53,miley cyrus get mad liam hemsworth refusing wear promise ring,anger,negative
54,queen absolutely fuming fake prince philip death rumours,anger,negative
55,justin bieber ruins selena gomez reunion kendall jenner quits modeling rumor patrol video,neutral,negative
56,marry justin bieber propose selena christmas,surprise,neutral
57,ryan seacrest relieved kim kardashian fill kelly ripa live,joy,positive
58,gwen stefani call wedding blake shelton cheating,sadness,negative
59,tyga scott disick party night bonding dumped kardashians,sadness,neutral
60,gwen stefani finding inspiration another baby janet jackson story true find gossip cop say married biography,surprise,positive
61,craig morgan suing life jacket maker sons death,anger,negative
62,brad pitt going back school impress professor girlfriend neri oxman,neutral,positive
63,brad pitt could get fulltime kid custody battle,neutral,negative
64,david victoria beckham divorcing soccer star shut rumors,sadness,neutral
65,taylor swift hits back tabloids,neutral,positive
66,mystery man dream man 1,surprise,positive
67,travis scott kylie jenners boyfriend split rumors break,sadness,neutral
68,drew barrymore gisele bündchen miley cyrus stars honoring international womens day,joy,positive
69,eddie cibrian cheated leann rimes brandi glanville report,sadness,negative
70,course oscars plenty political moments,anger,neutral
71,blake shelton gwen stefani marriage plans crisis crisis,neutral,negative
72,queen elizabeth upset meghan markles exhusband making royalinspired sitcom,sadness,negative
73,kim kardashian apparently cant wait khloé leaves tristan thompson,neutral,neutral
74,kelly osbourne addiction people need know rehab doesnt fix video,neutral,neutral
75,plastic surgeon weighs procedures kylie jenner might done,neutral,neutral
76,blake shelton gwen stefani hoping exes miranda lambert gavin rossdale happy children future relationships,joy,positive
77,pamela anderson julian assange details emerge unlikely relationship,neutral,neutral
78,25 shocking celebrity weight changes,surprise,negative
79,brad pitt jennifer anistons second wedding joy,joy,positive
80,gal gadot porn videos,disgust,neutral
81,massmedia brad pitt broke ella purnell princess monaco,neutral,negative
82,rihanna really feels chris brown publicly name checking,sadness,neutral
83,cory booker father mindy kalings baby despite report,sadness,neutral
84,ewan mcgregor scraps uk talk show visit piers morgan womens march barbs,neutral,neutral
85,brad pitt angelina jolie divorce selena gomez shamelessly flirted ptt gold globes,joy,negative
86,brad pitt life large,sadness,neutral
87,jennifer anistons mothers caregiver writing tellall book expose actress,sadness,negative
88,drew barrymore secretly sleepovers exhusband kopelman,neutral,neutral
89,jason aldean net worth,neutral,positive
90,katy perry weeknd dating two got dinner immediately set rumors,joy,neutral
91,jamie foxx upset katie holmes joshua jackson talking exclusive,sadness,negative
92,watch linkin parks chester bennington tribute concert live stream,joy,neutral
93,justin theroux aubrey plaza intriguing new couple alert wireler,surprise,positive
94,liam payne cheryl cole reportedly fighting baby names,neutral,negative
95,selena gomez justin bieber baby news,joy,neutral
96,hollywoods expectant moms inside mindy kalings private solo journey baby,joy,neutral
97,brad pitts custody victory angelina jolie,joy,neutral
98,blake shelton calls meeting gwen stefani miracle hitting rock bottom,surprise,positive
99,kim khloe kourtney kardashian slammed wearing fur,sadness,neutral
100,throwback alert relive pippa middletons scenestealing appearance kate middletons wedding,joy,positive
101,nina dobrev nikki reed ian somerhalder friends along,joy,positive
102,selena gomez justin theroux may dating jennifer aniston freaking,anger,negative
103,emma stone justin theroux caught showing pda emmastone emmastoneofficial emmastones emmastonearmy emmastoneandandrewgarfield e,anger,neutral
104,rihanna hassan jameel two years surprising revelations mean chris brown,surprise,positive
105,rearranges deck chairs malia obamas redacted spring break,neutral,neutral
106,katherine mcphee david foster engaged make maydecember romance official,joy,positive
107,kim kardashian gets hysterical lost earring kardashians,fear,negative
108,kylie jenner,neutral,neutral
109,alisters like bradley cooper self tanning,neutral,positive
110,jamie foxx upset katie holmes joshua jackson talking exclusive,sadness,negative
111,trump rescinds rules bathrooms transgender students,neutral,neutral
112,angelina jolie cold smith fake nice,neutral,negative
113,brad pitt cause tension jennifer aniston justin therouxs marriage e news,anger,negative
114,brad pitt threatening angelina jolie committed psych ward,fear,negative
115,brad pitt fears falling love angelina jolie divorce keeping casual costar,fear,positive
116,eric johnson net worth,neutral,positive
117,watch super bowl lii patriots vs eagles stream live date time,neutral,positive
118,khloe kardashian done,neutral,neutral
119,kylie jenner slams claim kris guiding travis scott kanye west,neutral,neutral
120,kim kardashian nude cookbook way,neutral,neutral
121,beyonce jayzs reported baby gift kim kanye west costs 23k hollywood life,surprise,positive
122,jrod jennifer lopez alex rodriguez love beauty redemption,joy,positive
123,report obama pleads jayz prevent hip hop artists meeting trump,sadness,positive
124,scenes lifetimes harry meghan movie probably didnt happen real life,sadness,neutral
125,cher worried chaz bono die weight issues despite fake news story,fear,negative
126,ben affleck reportedly begging jennifer garner second shot love go back,neutral,positive
127,crushing chris inside angelina jolies secret plan woo heartthrob hemsworth,joy,positive
128,selena gomez justin bieber break,sadness,neutral
129,angelina jolie reveals bells palsy diagnosis breaks silence divorce brad pitt,sadness,neutral
130,fans react u2 cancels st louis concert amid police protests,anger,negative
131,fergie josh duhamel split,sadness,neutral
132,ben affleck bender jennifer garner took rehab source says,sadness,neutral
133,tom selleck weighs magnum pi reboot hell make cameo,neutral,negative
134,shapeshifting,fear,neutral
135,teri hatcher broke homeless,sadness,negative
136,camilla warned meghan markle marrying prince harry,sadness,negative
137,kathy griffins career top crisis managers weigh,neutral,negative
138,katy perry ends six year beef calvin harris,neutral,neutral
139,fergie gives birth singer josh duhamel welcome baby boy axl jack,joy,positive
140,property brothers drew scott engaged linda phan,neutral,positive
141,tess ward dumped harry styles still feelings ex apparently,sadness,negative
142,blake shelton make gwen stefani cry,sadness,negative
143,rihanna boyfriend hassan jameel warning chris brown stay away,neutral,negative
144,jesse plemons skipped kirsten dunsts movie premiere avoid wedding questions,neutral,negative
145,pregnant kourtney kardashian hangs justin bieber amid baby daddy drama,sadness,neutral
146,hugh hefners wife crystal harris inherit nothing,sadness,neutral
147,mccarthyism trump accuses obama wiretapping office election,anger,negative
148,gwen stefani dumped blake shelton blindsided heartbroken,sadness,negative
149,kim kardashian kanye west dont smile,sadness,negative
150,15 secrets behind nina dobrev ian somerhalders relationship,neutral,neutral
151,chris hemsworth breaking ben affleckmatt damon friendship,sadness,positive
152,watch gong show tv show,joy,neutral
153,marc anthony net worth,neutral,positive
154,lena dunham gets affectionate new guy 3 months jack antonoff breakup,joy,positive
155,colin jost calls scarlett johansson girlfriend first time,surprise,neutral
156,biggest george clooney rumors,neutral,neutral
157,everyone donald trump called overrated twitter,surprise,neutral
158,adam sandler cuts relaxed figure hangs family,joy,positive
159,whats nicole kidman,neutral,neutral
160,beyonce jayz hang backstage dj khaled son asahd,joy,neutral
161,kim kardashian wont four kids,sadness,neutral
162,kris jenner talks season 15 keeping kardashians,neutral,neutral
163,full list 2018 oscar nominations variety,neutral,neutral
164,kim kardashian says caitlyn jenner lied fathers reasons defending oj simpson,neutral,negative
165,us report brad pitt wins kids,joy,positive
166,scott disick pinches sofia richies butt giggles date 3 weeks cheating rumors,sadness,negative
167,brad pitt angelina jolie search perfect pr hollywood divorce,neutral,positive
168,oj simpson desperate date kris jenner prison report,sadness,negative
169,cinderella margo jefferson real meghan markle,neutral,neutral
170,meghan markles wedding dress going display heres see person,joy,neutral
171,21 best selena gomez hollywood life images pinterest,neutral,positive
172,malibu crash involving bruce jenner leaves 1 dead 5 injured,sadness,negative
173,anna faris uncomfortable watching chris pratt zoe saldana romantic scenes,fear,positive
174,madonna allowed adopt fouryearold twin girls malawi lost mother,sadness,negative
175,meet kate hudsons boyfriend baby daddy,joy,neutral
176,irish actress ruth negga see hollywood star status soar,joy,neutral
177,miley cyrus jennifer hudson fighting,neutral,negative
178,jennifer anistons tearful meeting justin therouxs ex,sadness,neutral
179,ben affleck really throwing dinner parties single ladies find full story married biography,joy,positive
180,george clooney amal clooney headed split despite report,sadness,neutral
181,john lewis celebs react abc cancels roseanne,anger,negative
182,7 best celebrity liposuction images pinterest,neutral,positive
183,biggest celebrity feuds 2017,anger,negative
184,brad pitt smitten young angelina jolielookalike,joy,neutral
185,brad pitt princess charlotte baby news,joy,neutral
186,mary j blige hacked write kendu isaacs hate tweet,anger,negative
187,travis scott kylie jenners boyfriend avoids spotlight,neutral,negative
188,cheryl admits liam payne split statement cringeworthy,sadness,positive
189,divide us el rey theater,neutral,neutral
190,mariah careys new years eve mishap caused drugs alcohol despite report,sadness,neutral
191,tom cruise hired dating coach,neutral,neutral
192,sexual misconduct allegations r kelly spanning 24 years one timeline,sadness,neutral
193,kris jenner corey gamble party monaco see photos,joy,positive
194,kris jenner behind kourtney kardashian scott disick sofia richie love triangle,neutral,positive
195,kim kardashiankanye west divorce rumors proven false,neutral,neutral
196,humiliation kris jenner toyboy corey dumped,sadness,negative
197,definitive proof justin timberlake jessica biel stronger ever,joy,positive
198,dolly parton californias biblical disasters punishment embracing satan,joy,negative
199,rihannas wang preview ny fashion week,neutral,neutral
200,sure kate middleton looks great lets talk giving birth really womens bodies,joy,positive
201,johnny depp disney bosses couldnt stand jack sparrow thought character gay,sadness,neutral
202,blake shelton says stronger bond gwen stefani every day,neutral,positive
203,prince harry didnt get prenup marrying meghan markle,sadness,neutral
204,jayz reveals beyoncé chose names rumi sir twins,surprise,neutral
205,lindsay lohan opening second club greece,joy,neutral
206,alex rodriguez says want jennifer lopezs love answer calls,neutral,positive
207,khloe kardashian canceling promo appearances pregnancy,sadness,neutral
208,brad pitt upset angelina jolies rumored plans adopt would adopt,sadness,negative
209,ariel winter friends elope levi meaden,neutral,positive
210,jennifer garner gossip cop,neutral,negative
211,justin biebers tour cancellation want sustainable,neutral,positive
212,biggest celebrity feuds 2017,anger,negative
213,savannah chrisley dumped nba player boyfriend luke kennard,sadness,negative
214,angelina jolie concerned bulging veins arms legs surgeon speaks,neutral,neutral
