,tweet,max_emotion,sentiment
0,fact check telugu voted second best script world recently,surprise,positive
1,fact check image woman atmanirbhar slogan old picture,neutral,neutral
2,yes vijaya hospital founder̢s grandson died covid19,sadness,negative
3,fact check boston police damage car blame george floyd protesters,anger,negative
4,fact check home ministry ordered complete lockdown 15 june,fear,neutral
5,fact check lemon juice cure covid19,neutral,neutral
6,fact check amitabh bachchan hasn̢t tested negative covid19,neutral,negative
7,viral image grand structure architectural view ayodhya ram mandir iskcon̢s vedic planetarium west bengal,neutral,positive
8,fact check viral video amitabh bachchan praising nanavati hospital covid warriors released april,joy,positive
9,fact check bird viral video carrying shark,neutral,neutral
10,fact check viral images people boarding bus london kolkata true,neutral,positive
11,fact check viral cartoon ̢lipstick pig̢ depicting modi indian media false,anger,neutral
12,fact check girl cycled 1200 km take injured father home raped murdered,sadness,negative
13,fact check video showing pak chinese soldiers dancing martyrdom 20 indian soldiers old one,joy,neutral
14,fighting infodemic newsmeter part corona virus facts alliance,neutral,negative
15,fact check claims crpf shot killed civilian kashmir false,anger,negative
16,fact check hyderabad school principal misbehave parent questioned fee charged,anger,negative
17,fact check video indians spain celebrating construction ram mandir false,neutral,positive
18,fact check old video dogs roaming around osmania hospital wards resurfaces amid pandemic,fear,neutral
19,fact check dr vk srinivasan bharath biotech didn̢t take covid19 vaccine,neutral,neutral
20,fact check 35yo scientist khusbhoo mirza appointed director isro,surprise,neutral
21,fact check indian air force jet shot nepali forces,neutral,neutral
22,viral video giraffes diving swimming pool real showbut animation,joy,positive
23,true hetero selling 6 vials remdesivir rs 32400 kukatpally,neutral,positive
24,fact check ht report claiming men twice likely die covid misleading,neutral,negative
25,fact check video claiming italy discovered covid19 bacteria virus misleading,neutral,negative
26,fact check dabangg3 fame javed hyder selling vegetables living due lockdown,neutral,positive
27,fact check viral video claiming bhedaghat falls madhya pradesh false,neutral,neutral
28,fact check old news reports used back false claims kcr treated yashoda covid19,anger,neutral
29,fact check whatsapp message kejriwal introducing single scheme three times false,neutral,neutral
30,fact check covid19 cannot transmitted smoke released cremation victims,neutral,negative
31,fact check kerala 2019 notification offering jobs scheduled caste converted christians goes viral,neutral,neutral
32,viral video covid suspect̢ chased dubai returnee kerala hyderabad,neutral,neutral
33,viral video claiming kishore kumar̢s grand daughter muktika ganguly false,anger,positive
34,fact check srirangam temple statue chinese man stabbing warrior,anger,neutral
35,fact check video showing toppled truck carrying liquor bottles tamil nadu ap,fear,neutral
36,fact check viral video claiming large crowd bengaluru̢s victoria hospital patna,surprise,neutral
37,fact check video showing india̢s failed missile test russia,sadness,negative
38,fact check christian missionary occupied hindu temple tamil nadu,neutral,neutral
39,fact check nepali students protested support indians,anger,positive
40,fact check nepal soldiers gun 7 indian soldiers ceasefire violation,anger,negative
41,fact check viral video showing nepali man tonsured indian origin,neutral,neutral
42,fact check yes india sent missiles pakistan kargil war raveena tandon̢s love message,neutral,positive
43,fact check true congressled government closed rafale deal 2012,neutral,positive
44,fact check viral claim late prime minister jawahar lal nehru slapped 1962 debacle false,anger,neutral
45,fact check viral message mobile apps alternative pulse oximeters false,neutral,neutral
46,fact check woman viral video neither wouldbe owner padmanabha swamy temple member royal family,neutral,neutral
47,fact check peta killing half animals sheltering,disgust,negative
48,fact check ̢ uproar peta billboards promoting vegan bakr eid pulled lucknow,anger,positive
49,fact check viral list plasma donors 2017 shows list blood donors,neutral,neutral
50,rahul̢s claim rafale rs 526 cr instead rs 1670 cr false,neutral,neutral
51,fact check pictures rajiv gandhi claiming bhoomipujan 1989 false,neutral,neutral
52,fact check defence minister rajnath singh didn̢t tie ̢nimbumirchi̢ fence border,neutral,positive
53,fact check picture showing ancient well amazing indian architecture built rajaraja chola,surprise,positive
54,fact check ttd send irrelevant religious publicity material saptagiri subscribers,neutral,neutral
55,fact check news newly inaugurated sattarghat bridge bihar collapsed false,surprise,negative
56,fact check national geographic channel didn̢t buy shark video 1 million dollar,neutral,neutral
57,fact check video show snake worship srikalahasthi temple andhra pradesh,neutral,positive
58,fact check viral message sonu sood called help tollfree number true,neutral,positive
59,fact check viral claim 50 million people died 1918 due vaccine flu false,neutral,negative
60,fact check viral video statue unity gallery getting flooded due rainwater misleading,anger,negative
61,fact check viral audio claiming steam inhalation cure covid19 false,neutral,neutral
62,fact check viral messages suddala̢s demise false,neutral,neutral
63,fact check sushant singh rajput̢s pavitra rishta̢ taken,neutral,neutral
64,fact check viral image late prime minister indira gandhi burying time capsule red fort true,neutral,positive
65,media reports placing ̢time capsule̢ ayodhya ram mandir̢s foundation false,neutral,neutral
66,fact check viral image world̢s largest tulsi̢ turns mango tree,neutral,neutral
67,fact check google removed palestine google maps,neutral,neutral
68,fact check union minister meghwal̢s claim papads help produce antibodies fight covid9 false,neutral,positive
69,photos showing members organ trafficking gang arrested vizag false,anger,negative
70,fact check hidden phishing codes shared whatsapp ̢good morning̢ messages,neutral,positive
71,fact check yes rare yellow turtle spotted balasore odisha,neutral,positive
72,fact check claim reusing masks covid cause legionnaires̢ disease false,anger,neutral
73,whatsapp viral image rs 350 note photoshopped real,surprise,neutral
74,fact check viral post claiming total 6 massive explosions occurred within 24 hours misleading,neutral,negative
75,fact check aamir khan meet two terrorists trip mecca,neutral,negative
76,fact check viral photos woman suffered acid burns shared misleading claims,disgust,negative
77,lady viral picture adithya thackeray rhea chakraborty,joy,neutral
78,fact check aiims nursing officer recruitment common eligibility test 2020 postponed true,sadness,positive
79,fact check online rumors actress alia bhatt shunted rajamouli̢s rrr̢ false,neutral,neutral
80,fact check amitabh bachchan̢s claim monsoons 400 million years old false,neutral,neutral
81,claims delhi cm arvind kejriwal asked building hospital instead babri masjid false,neutral,neutral
82,fact check bihar cop probing sushant singh̢s death join cbi probe,neutral,negative
83,fact check viral images sunni waqf board deciding build ̢babri hospital̢ ayodhya false,neutral,neutral
84,true balbir singh participated babri masjid demolition converted islam,joy,positive
85,fact check video claiming rally held west bengal protest march bangladesh,neutral,negative
86,fact check massive blast beirut nuclear explosion,surprise,neutral
87,fact check video billboard falling motorcyclist hyderabad,fear,negative
88,image several billboards new york featuring images lord ram manufactured original,surprise,positive
89,fact check bill gates neither expelled india polio drops paralyzed children,fear,positive
90,image boat ambulance tweeted mumbai corporation official maharashtra,neutral,neutral
91,british pm offering prayers rama̢s idol along wife,joy,neutral
92,fact check viral claim postponement clat 2020 false,neutral,neutral
93,fact check coronavirus pandemic hoax control general public false,neutral,negative
94,fact check video claims covid 19 bacteria treated antibiotics false,neutral,neutral
95,fact check government giving rs 15 lakh municipalities reporting covid cases,neutral,positive
96,fact check video cows getting washed away floods mexico madhya pradesh,neutral,neutral
97,fact check pictures claiming inside pm̢s aircraft false,neutral,neutral
98,fact check claims 111l laddus prepared ayodhya ram mandir bhoomi pujan true,neutral,positive
99,video dalit assaulted made drink urine upper caste men name caste false,disgust,negative
100,fact check viral claims wearing face mask leads lung infections false,neutral,neutral
101,fact check screenshot tweet fake account resembling hindustan times 2yo,neutral,negative
102,fact check claim installation ganesh idol led hindumuslim fight false,neutral,negative
103,fact check old photos falsely passed flooded neetjee exam centres,anger,neutral
104,fact check youtube channel̢s claim power bill waiver false,neutral,neutral
105,fact check viral video lord ganesha misidentified idol made 70kg gold 350kg silver mumbai,neutral,neutral
106,fact check bjp leader̢s claim 16 women injured jihadis sweden false,anger,negative
107,fact check video claiming google ceo met teacher 26 years false,neutral,neutral
108,fact check karnataka cop force temple priest worship jesus,neutral,positive
109,fact check yes choluteca bridge withstood hurricane mitch 1998,fear,positive
110,message vaccine covid19 market august 15 2020 false,neutral,neutral
111,fact check congress posts unrelated images claims bihar floods false misleading,neutral,negative
