tweet,max_emotion,sentiment
coronavirus il governo ha ordinato di non fare le autopsie sui morti covid19 si potevano e si possono fare,neutral,positive
dakwaan mesej kononnya terdapat warga atm dijangkiti covid19 sewaktu proses pengundian awal sempena prn sabah adalah tidak benar,neutral,neutral
india middle coronavirus youtube frenzy going get people killed,anger,negative
tv9 bharatvarsh falsely links mystery virus tomatoes coronavirus,neutral,neutral
biden confirm support agenda microchip americans,neutral,positive
cette vidéo ne montre pas le ministre nigérian de la santé qui sévanouit lors dune audition au parlement,neutral,neutral
hot air saunas hair dryers wont prevent treat covid19,neutral,negative
verificamos es falso que se suspenderá la jubilación de los ancianos que cumplan con el aislamiento por covid19,neutral,neutral
coronavirus email scams trying cash fear,fear,negative
pfizer covid19 candidate vaccine cold called vaccine,neutral,neutral
este vídeo está grabado en el metro de parís ni la policía está deteniendo esas personas por llevar mascarilla es bucarest los detenidos son ultras de un equipo de fútbol según la gendarmería rumana,fear,neutral
sultan sokoto didnt say nigerias first covid19 case faked,neutral,neutral
es necesario verificar los datos del padrón electoral para recibir la vacuna contra el coronavirus,neutral,neutral
hay pruebas de que la vitamina c prevenga el coronavirus como afirma una supuesta doctora,fear,neutral
morphed india today graphic claims lockdown extended may 4th,fear,neutral
vitamina e novo coronavírus é fake news,anger,negative
disinfo targeting south african defence force surges amid covid19 lockdown,fear,positive
alman meclisine 2012 ylnda sunulan raporda yeni koronavirüs salgnnn anlatld iddias,neutral,neutral
fact check 99 covid survival rate evidence lockdowns control instead health,neutral,neutral
carnaval será porta de entrada para novo coronavírus é fake news,fear,negative
videos shows italian couple hospital coronavirus,neutral,neutral
coronakettenbrief nein aspirin kann covid19 nicht heilen und nicht alle patienten sterben einer thrombose,neutral,neutral
false headline kenya blocked flights europe us,anger,negative
old image shared bjp leaders visit covid positive dilip ghosh without wearing masks,neutral,positive
ginger turmeric wont cure coronavirus diseases,sadness,neutral
tweet cocaine protection coronavirus,neutral,neutral
says dr anthony fauci said trumps pandemic response cant imagine anybody could,surprise,neutral
ninguna enfermera ha muerto por aplicarse la vacuna contra covid19,neutral,positive
cek fakta hoaks link pendataan bagi usaha mikro dan ultra mikro dari kemenkopukm,fear,neutral
esta lámpara ultravioleta elimina el coronavirus de tus dispositivos en cinco segundos,neutral,neutral
dean koontz predicted 2019 coronavirus 1981 novel,neutral,positive
nein georg nüßlein hat nicht bestätigt dass das dritte bevölkerungsschutzgesetz zur einführung einer impfpflicht gedacht war,neutral,negative
fact check needle cap london mayors flu shot publicity photo september covid19 vaccine injection december,neutral,negative
cek fakta hoaks nama covid19 berasal dari bahasa latin,neutral,neutral
en china las personas aún regresan su vida normal persiste la pandemia,neutral,neutral
us economy worst world factor three,disgust,negative
fotoraflarn umreden dönenlerin kald yurt odalarnn son halini gösterdii iddias,neutral,neutral
number people dying right year,sadness,positive
cek fakta video disinformasi anies baswedan gubernur terbaik hadapi covid19,fear,neutral
coronavirus esauriti posti letto al cotugno di napoli lospedale smentisce indagine sul documento,neutral,neutral
